Date,Capital Value,Fund Code,Fund Type
2013-02-05,109.18514507361382,070002,Strategy Fund
2013-02-05,109.51228619145279,110011,Strategy Fund
2013-02-05,107.5731055225217,161005,Strategy Fund
2013-02-05,110.53276310700768,163402,Strategy Fund
2013-02-05,109.61062752131923,202002,Strategy Fund
2013-02-05,109.42428554085464,260116,Strategy Fund
2013-02-05,107.7765180055684,270006,Strategy Fund
2013-02-05,110.22088270780029,377010,Strategy Fund
2013-02-05,110.74725328258938,519008,Strategy Fund
2013-02-06,106.93265649576726,Shanghai Composite,Index
2013-02-06,103.3760607915578,040001,Mutual Fund
2013-02-06,104.86116687188867,050001,Mutual Fund
2013-02-06,107.53166250460649,070002,Mutual Fund
2013-02-06,108.75500105842728,110011,Mutual Fund
2013-02-06,107.90160732097462,161005,Mutual Fund
2013-02-06,107.75544393626704,163402,Mutual Fund
2013-02-06,105.19441446173641,202002,Mutual Fund
2013-02-06,107.8368566869892,260116,Mutual Fund
2013-02-06,103.41359000980621,270006,Mutual Fund
2013-02-06,106.79758258705421,377010,Mutual Fund
2013-02-06,107.46252137714562,040001,Strategy Fund
2013-02-06,110.19231010834294,050001,Strategy Fund
2013-02-06,109.6639929722087,070002,Strategy Fund
2013-02-06,109.83979925904043,110011,Strategy Fund
2013-02-06,107.9588995713918,161005,Strategy Fund
2013-02-06,111.1183924791436,163402,Strategy Fund
2013-02-06,109.97317758418221,202002,Strategy Fund
2013-02-06,109.94868517450433,260116,Strategy Fund
2013-02-06,107.9488431618855,270006,Strategy Fund
2013-02-06,110.86676931525756,377010,Strategy Fund
2013-02-06,111.53821299826134,519008,Strategy Fund
2013-02-07,106.2269009628952,Shanghai Composite,Index
2013-02-07,103.3760607915578,040001,Mutual Fund
2013-02-07,104.86116687188867,050001,Mutual Fund
2013-02-07,108.08007398338,070002,Mutual Fund
2013-02-07,109.95130607006998,110011,Mutual Fund
2013-02-07,108.09583021415239,161005,Mutual Fund
2013-02-07,107.93862819095867,163402,Mutual Fund
2013-02-07,105.50999770512162,202002,Mutual Fund
2013-02-07,109.05541316755219,260116,Mutual Fund
2013-02-07,104.61318765391998,270006,Mutual Fund
